"generation","genome","accuracy","layer","type","units","activation"
0,0,0.18359999358654022,2,"Dense",14,"sigmoid"
0,0,0.18359999358654022,4,"Dense",10,"sigmoid"
0,0,0.18359999358654022,6,"Dense",15,"elu"
0,0,0.18359999358654022,8,"Dense",18,"sigmoid"
0,0,0.18359999358654022,10,"Dense",28,"relu"
0,0,0.18359999358654022,12,"Dense",31,"tanh"
0,0,0.18359999358654022,14,"Dense",17,"relu"
0,0,0.18359999358654022,16,"Dense",32,"tanh"
0,0,0.18359999358654022,18,"Dense",10,"softmax"
0,1,0.10639999806880951,2,"Dense",12,"relu"
0,1,0.10639999806880951,4,"Dense",29,"relu"
0,1,0.10639999806880951,6,"Dense",10,"softmax"
0,2,0.34200000762939453,2,"Dense",16,"tanh"
0,2,0.34200000762939453,4,"Dense",11,"tanh"
0,2,0.34200000762939453,6,"Dense",19,"tanh"
0,2,0.34200000762939453,8,"Dense",29,"relu"
0,2,0.34200000762939453,10,"Dense",10,"softmax"
0,3,0.29159998893737793,2,"Dense",17,"tanh"
0,3,0.29159998893737793,4,"Dense",13,"sigmoid"
0,3,0.29159998893737793,6,"Dense",16,"relu"
0,3,0.29159998893737793,8,"Dense",17,"tanh"
0,3,0.29159998893737793,10,"Dense",16,"relu"
0,3,0.29159998893737793,12,"Dense",10,"softmax"
1,0,0.28119999170303345,2,"Dense",12,"relu"
1,0,0.28119999170303345,4,"Dense",53,"relu"
1,0,0.28119999170303345,6,"Dense",15,"elu"
1,0,0.28119999170303345,8,"Dense",18,"sigmoid"
1,0,0.28119999170303345,10,"Dense",60,"relu"
1,0,0.28119999170303345,12,"Dense",59,"tanh"
1,0,0.28119999170303345,14,"Dense",23,"elu"
1,0,0.28119999170303345,16,"Dense",32,"tanh"
1,0,0.28119999170303345,18,"Dense",10,"softmax"
1,1,0.2168000042438507,2,"Dense",12,"relu"
1,1,0.2168000042438507,4,"Dense",29,"relu"
1,1,0.2168000042438507,6,"Dense",45,"elu"
1,1,0.2168000042438507,8,"Dense",18,"sigmoid"
1,1,0.2168000042438507,10,"Dense",28,"relu"
1,1,0.2168000042438507,12,"Dense",31,"tanh"
